ID,v0,v1,v2,v3,v4,v5,v6,v7
:R:A:BAS:AHUD:dciBAS-MANAUTO:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-MANAUTO:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-MANAUTO:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-BASLOC:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-BASLOC:dal:V_valueTable_label,&DB_LOCAL1,&DB_BASH,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-BASLOC:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-BASLOC:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-BASLOC:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-ENCTL:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-ENCTL:dal:V_valueTable_label,&DB_HUAN,&DB_BAS,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-ENCTL:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-ENCTL:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-ENCTL:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal:V_valueTable_label,&DB_WUYI,&DB_YUNX1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal:V_valueTable_severity,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal:V_valueTable_state,N,N,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-STOPSTA:dal:V_valueTable_format,0,0,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dciBAS-STOPSTA:dal:V_valueTable_label,&DB_WUYI,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
